"filename", "language", "C#", "comment", "blank", "total"
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\Elephant.cs", "C#", 42, 2, 3, 47
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\Fire.cs", "C#", 21, 3, 5, 29
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\FireObject.cs", "C#", 19, 0, 3, 22
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\GarbageBin.cs", "C#", 14, 0, 2, 16
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\Planet.cs", "C#", 31, 0, 6, 37
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\ProgressBar.cs", "C#", 35, 0, 2, 37
"Total", "-", 162, 5, 21, 188
