"filename", "language", "C#", "comment", "blank", "total"
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\Elephant.cs", "C#", 98, 2, 9, 109
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\Fire.cs", "C#", 64, 3, 13, 80
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\FireObject.cs", "C#", 28, 3, 2, 33
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\GarbageBin.cs", "C#", 14, 0, 2, 16
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\Planet.cs", "C#", 31, 0, 6, 37
"d:\TL\unity\Ongoing\2022ggj\Assets\Script\ProgressBar.cs", "C#", 52, 0, 8, 60
"Total", "-", 287, 8, 40, 335
